time	T	T_1	T_2	V
0.0	1000.0	0.0	0.0	0.001
0.9900990099009901	999.9999910516664	8.870622979601142e-06	1.653965897818916e-08	9.161443419672893e-05
1.9801980198019802	999.9999902862273	9.519311749315158e-06	3.776838205006858e-08	1.1129789569225198e-05
2.9702970297029703	999.9999902212461	9.46854888474002e-06	5.4902912365867925e-08	5.492630319781044e-06
3.9603960396039604	999.9999901865848	9.391516575601453e-06	6.821277663847189e-08	6.282730735970963e-06
4.9504950495049505	999.9999901295438	9.340718427331067e-06	7.853890115559974e-08	7.36379549855546e-06
5.9405940594059405	999.9999900516488	9.314235664236651e-06	8.658134280358631e-08	8.247089443779885e-06
6.930693069306931	999.999989957846	9.30678722165366e-06	9.288002542378017e-08	8.940578537827922e-06
7.920792079207921	999.9999898522505	9.31398018439895e-06	9.784785303960408e-08	9.486271166730646e-06
8.910891089108912	999.9999897380213	9.332434526328444e-06	1.0180031531712826e-07	9.91869563958761e-06
9.900990099009901	999.9999896175613	9.359562894622843e-06	1.0497850056337674e-07	1.0264737054391763e-05
10.89108910891089	999.9999894926838	9.393397992378064e-06	1.0756578220971088e-07	1.0544829275722747e-05
11.881188118811881	999.999989364763	9.432434338776365e-06	1.0970253109147925e-07	1.0774617930269498e-05
12.871287128712872	999.9999892348313	9.47552052130547e-06	1.1149614271310957e-07	1.0966083532343152e-05
13.861386138613861	999.9999891036708	9.521775624496151e-06	1.1302883074348632e-07	1.112839683778116e-05
14.85148514851485	999.999988971867	9.570526948639601e-06	1.1436342625502145e-07	1.1268564928077169e-05
15.841584158415841	999.9999888398546	9.621261478997274e-06	1.1554789398707859e-07	1.1391937206854473e-05
16.831683168316832	999.9999887079596	9.673593157639053e-06	1.1661837966962222e-07	1.1502545025957897e-05
17.821782178217823	999.9999885763928	9.727229311969924e-06	1.176023358903475e-07	1.1603450041867727e-05
18.81188118811881	999.9999884453189	9.781945586808929e-06	1.1852085590857817e-07	1.1697004610489457e-05
19.801980198019802	999.9999883148533	9.837565680568521e-06	1.1939056027808333e-07	1.1785062213453486e-05
20.792079207920793	999.9999881850771	9.893951283855713e-06	1.2022453350426228e-07	1.1869082030168624e-05
21.78217821782178	999.9999880560455	9.951001773305823e-06	1.2103235276866676e-07	1.1950131909009178e-05
22.77227722772277	999.9999879277904	1.0008643263268689e-05	1.218211071384644e-07	1.2029002170658838e-05
