Values[v]	Values[u]
-60.0	6.0
-59.99999999999998	6.0
-59.999999999999964	6.0
-59.999999999999964	5.999999999999999
-59.999999999999964	5.999999999999999
-59.999999999999964	5.999999999999999
-59.99999999999996	5.999999999999999
-59.99999999999996	5.999999999999999
-59.99999999999996	5.999999999999999
-59.99999999999996	5.999999999999999
-52.9084253703621	5.9924888382241726
-46.75642331005918	5.972598911502074
-49.33223260088484	5.9493696786704025
-52.29761306662544	5.932179946876226
-55.0204426490153	5.9210655717041245
-48.85563423435349	5.906592782639991
-41.22907182722558	5.879401970669498
-39.51996285766832	5.843169430943798
-34.925442798241434	5.8019792243006485
-14.612109808324492	5.742163043419439
-59.412398854438976	11.62384574854768
-63.55369573025677	11.516019437562704
-65.0905583597599	11.415637156282726
-65.54638419753724	11.319031836532975
-65.63562300569633	11.224810916315842
-65.60858845129397	11.132495031857294
-65.54571688106826	11.041911100844963
-65.47227478931336	10.952983699870893
-65.39617334657665	10.865668436428857
-65.31989372530796	10.77993105086256
-65.2442136585765	10.695740864849913
-65.16937375889013	10.613068714201201
-65.09544430685754	10.531886287961257
-65.02244127306686	10.45216591098314
-64.95036324006588	10.37388046728241
-64.87920322579339	10.297003368440052
-64.80895248931348	10.22150853662747
-64.73960176767206	10.1473703924556
-64.67114167413212	10.074563844536554
-64.60356283107195	10.003064279740158
-64.53685591284378	9.932847553762572
-64.47101165944301	9.86388998201924
-64.40602088111419	9.796168330657054
-64.34187445868935	9.729659807580235
-64.27856334339909	9.664342054167433
-64.21607855757945	9.600193136832363
-64.15441119614053	9.53719153845728
-64.0935524239205	9.475316150418502
-64.0334934710062	9.414546264673797
-63.97422563434777	9.354861565940732
-63.91574028546759	9.296242123991266
-63.85802886710797	9.238668386217093
-63.80108288106451	9.182121170397858
-63.74489389244443	9.126581657349574
-63.689453545118404	9.07203138372421
-63.63475354487968	9.018452235453744
-63.58078565613556	8.965826440762902
-63.527541720223724	8.914136563531377
-63.47501363831496	8.863365496816083
-63.4231933714201	8.813496456507055
-63.37207295484489	8.764512974889945
-63.32164447949171	8.716398894644655
-63.27190010501904	8.669138362807864
-63.222832052137186	8.622715824858211
-63.174432605506105	8.57711601893239
-63.12669411246875	8.532323970161347
-63.0796089828353	8.488324985073108
-63.033169688254915	8.44510464602653
-62.98736876221483	8.402648806823871
-62.94219880106318	8.360943585686414
-62.89765246433562	8.319975361333315
-56.49661922631566	8.272738418662847
-52.3638890292428	8.216532346489826
-57.03360426899026	8.162387144164532
-60.00449156555134	8.1169417855091
-61.478959460465504	8.076688072890535
-62.11046369898889	8.039215999588425
-62.352305331665264	8.003296552501611
-62.42861153063086	7.96837906080163
-62.437056474385756	7.934226694173005
-62.418191324371854	7.9007360988159485
-55.91916499134395	7.860785574081969
-51.523473094861714	7.811360514164496
-56.03162554285662	7.7633488965026585
-59.13187106409088	7.723922848841176
-60.78794587316802	7.689909047153348
-61.54686042586346	7.658864488671247
-61.86135153828712	7.62943992501416
-61.97684017511265	7.60099601019198
-62.007037906724584	7.573247318990391
-62.00142729069062	7.546067204020263
-61.981017365508485	7.519397326136548
-61.9546486105515	7.493208308995477
-61.92603112719747	7.467483042254648
-61.89672093630636	7.442209656319708
-61.86736986120594	7.417378571757493
-61.83824967848962	7.3929812583781835
-61.809472119055535	7.369009711545858
-61.78108137934913	7.345456229799333
-61.75309311040805	7.322313319327903
-61.725510883102515	7.299573652011007
