x1	x2	y2
0.0	0.0	0.0
1.2642411176528956	1.056964470590764	0.528482235295382
0.4650883158991572	1.3190121305033866	0.6595060652516933
0.1710964297396756	0.8274303050789868	0.4137151525394934
0.06294285895105688	0.4302803162485946	0.2151401581242973
0.023155383770874977	0.20460204989521574	0.10230102494760787
0.008518389637414756	0.09230566709100921	0.046152833545504604
0.003133740417957445	0.04022483807292271	0.020112419036461354
0.0011528386762581291	0.01710356829794189	0.008551784148970945
0.00042410564803126307	0.0071402624408574405	0.0035701312204287202
0.0001560197638356311	0.0029387952707976305	0.0014693976353988153
5.7396467895797937e-05	0.0011959153269522887	0.0005979576634761443
2.1114983781236157e-05	0.00048218266375422286	0.00024109133187711143
7.767770999513123e-06	0.00019292065604863156	9.646032802431578e-05
2.857604086594928e-06	7.66867645272175e-05	3.834338226360875e-05
1.0512538101135597e-06	3.031399709525182e-05	1.515699854762591e-05
3.867347672770223e-07	1.1925367017133861e-05	5.962683508566931e-06
1.422717659400494e-07	4.671641053302561e-06	2.3358205266512805e-06
5.233867855174419e-08	1.8232739549281092e-06	9.116369774640546e-07
1.9254298065075302e-08	7.092524136275977e-07	3.5462620681379886e-07
7.083603623935087e-09	2.7509407229558926e-07	1.3754703614779463e-07
2.6058784898774976e-09	1.0641380973899185e-07	5.320690486949593e-08
9.585655578032966e-10	4.1063938375242044e-08	2.0531969187621022e-08
3.5256607191767414e-10	1.5810401197358928e-08	7.905200598679464e-09
1.2960506996115642e-10	6.072795312085199e-09	3.0363976560425995e-09
4.7724423895414766e-11	2.330480129112583e-09	1.1652400645562914e-09
1.7616775313755153e-11	8.947860674102682e-10	4.473930337051341e-10
6.544327822017954e-12	3.4417088416250556e-10	1.7208544208125278e-10
2.326278676498071e-12	1.2848101084531932e-10	6.424050542265966e-11
8.416833808762815e-13	4.80505878620991e-11	2.402529393104955e-11
3.360144435073713e-13	1.9404858103327827e-11	9.702429051663914e-12
1.2876081336658076e-13	7.649541828914982e-12	3.824770914457491e-12
2.200210238634163e-14	1.5076322269724776e-12	7.538161134862348e-13
-5.1351084336415713e-14	-2.716247034114164e-12	-1.3581235170571017e-12
-6.562034670633243e-14	-3.6212567054676897e-12	-1.8106283527338858e-12
-5.4361604946983066e-14	-3.0725737355879375e-12	-1.5362868677940316e-12
-5.721353121004023e-14	-3.273479604280701e-12	-1.6367398021404244e-12
-4.4402206278616205e-14	-2.5690166343364417e-12	-1.284508317168303e-12
-2.8276580441023e-14	-1.7029045440059554e-12	-8.514522720030859e-13
-2.0439698984632336e-14	-1.2352869107995434e-12	-6.176434553998597e-13
-1.2602817528241675e-14	-7.676692775931317e-13	-3.838346387966334e-13
-7.73866350382968e-15	-4.77240691427163e-13	-2.38620345713636e-13
-7.488016763256257e-15	-4.617996303009153e-13	-2.308998151505105e-13
-7.237370022682832e-15	-4.463585691746674e-13	-2.23179284587385e-13
-6.9867232821094096e-15	-4.309175080484196e-13	-2.154587540242595e-13
-6.736076541535986e-15	-4.1547644692217184e-13	-2.0773822346113399e-13
-6.485429800962563e-15	-4.00035385795924e-13	-2.0001769289800848e-13
-6.234783060389139e-15	-3.8459432466967625e-13	-1.92297162334883e-13
-5.984136319815715e-15	-3.691532635434285e-13	-1.845766317717575e-13
-5.733489579242292e-15	-3.537122024171807e-13	-1.7685610120863198e-13
-5.482842838668869e-15	-3.3827114129093293e-13	-1.691355706455065e-13
-5.232196098095445e-15	-3.2283008016468516e-13	-1.61415040082381e-13
-4.9815493575220214e-15	-3.0738901903843734e-13	-1.5369450951925547e-13
-4.730902616948599e-15	-2.9194795791218957e-13	-1.4597397895613e-13
